1883  MA 1905 09 08 01 43  0.00 Calabria centrale                        GALMO007   MI   38.8110   16.0000  0.00 10-11 10.50 bx   6.95  0.09 Wmim GALMO007                        860 10-11 10.50   38.8110   16.0000   1.40   1.90 bx4 10-11 10.50  6.90  0.10 bxn  MICAL006                         38.6000   15.4000  0.00   7.41  0.29 Pry_ MARAL993                       19050908_0143_000 1484  S N C    24.7475    40.0383 99999.0000
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199971 Santo Stefano di Rogliano                     39.1930   16.3240 8      8.00 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199972 Santo Stefano in Aspromonte                   38.1680   15.7890 8      8.00 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199973 Serra d'Aiello                                39.0890   16.1290 8      8.00 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199974 Simbario                                      38.6110   16.3350 8      8.00 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199975 Sinopoli Inferiore                            38.2610   15.8860 8      8.00 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199976 Spilinga                                      38.6270   15.9050 8      8.00 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199977 Vibo Valentia                                 38.6730   16.1030 8      8.00 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199978 Altilia                                       39.1290   16.2520 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199979 Amantea                                       39.1320   16.0810 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199980 Anoia (Inferiore)                        MS   38.4350   16.0800 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199981 Badolato                                      38.5680   16.5240 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199982 Belsito                                       39.1740   16.2870 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199983 Brattir˜                                      38.6420   15.8870 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199984 Castagna                                      39.0530   16.4360 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199985 Cellara                                       39.2180   16.3340 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199986 Ciaramiti                                     38.6500   15.8620 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199987 Comerconi                                     38.5830   15.9330 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199988 Conflenti Superiore                           39.0670   16.2930 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199989 Cosoleto                                      38.2750   15.9270 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199990 Fagnano Castello                              39.5640   16.0540 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199991 Galatro                                       38.4600   16.1090 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199992 Gesuiti                                       39.3590   16.1330 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199993 Gioia Tauro                                   38.4260   15.8990 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199994 Ioggi                                         39.5760   16.0800 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199995 Longobardi                                    38.7020   16.1220 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199996 Mangone                                       39.2030   16.3340 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199997 Marano Principato                             39.2990   16.1750 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199998 Marina di Fuscaldo                            39.4130   16.0120 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     199999 Melicuccˆ                                     38.3020   15.8810 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     200000 Melicucco                                     38.4330   16.0600 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     200001 Molochio                                      38.3080   16.0320 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     200002 Perito                                        39.2730   16.3300 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     200003 Pianetti                                      39.4270   16.1920 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     200004 Pietrafitta                                   39.2600   16.3400 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     200005 Platania                                      39.0050   16.3200 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     200006 Preitoni                                      38.5760   15.9220 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     200007 Presinaci                                     38.6070   16.0180 7-8    7.50 IT
19050908_0143_000 1905 09 08 01 43  0.00       0.0000    0.0000        0.00     0.00  0.00      GALMO007                          0 10-11 10.50     200008 Rende                                         39.3310   16.1830 7-8    7.50 IT
